,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
290,35,27,6,27,6,5,6,5,6,27,6,27,35,33,35,22,28,30,28,16
291,36,9,36,9,36,9,12,29,23,29,35,37,6,5,6,27,35,22,35,30
292,37,35,47,49,16,35,42,35,26,35,34,35,42,35,17,10,29,23,29,15
293,38,19,38,35,43,28,45,28,1,0,1,0,35,33,35,44,28,29,14,29
294,39,16,32,16,32,9,32,9,35,41,35,27,6,37,35,31,28,29,50,47
295,40,14,29,39,9,19,48,23,47,49,47,23,21,35,29,14,9,19,1,37
296,41,35,31,35,42,35,33,35,32,9,32,16,2,16,39,29,32,9,28,31
297,42,35,21,35,33,35,45,35,0,19,1,19,46,24,47,28,31,28,1,28
298,43,28,16,32,29,4,47,23,16,4,29,6,27,6,27,6,16,32,16,4
299,44,35,32,16,2,16,50,47,24,48,23,16,13,29,49,29,6,5,6,29
300,45,28,45,35,9,39,29,14,40,14,29,12,29,32,35,26,39,16,35,20
301,46,19,7,19,38,19,29,14,29,36,9,39,26,6,27,35,47,50,29,15
302,47,49,16,23,21,35,33,35,26,35,29,11,9,32,29,23,47,23,16,39
303,48,19,38,19,46,19,0,1,25,1,19,1,0,1,19,48,19,47,50,47
304,49,29,24,1,28,30,13,29,35,0,35,20,35,43,35,8,35,16,15,47
305,50,47,49,47,35,26,35,32,29,6,29,11,9,32,29,11,9,11,29,36
306,0,19,48,19,9,12,9,19,7,19,48,24,47,15,47,35,26,35,45,28
307,1,0,1,0,19,1,28,1,37,1,25,1,19,1,28,1,0,19,9,11
308,2,16,39,26,39,16,50,29,49,16,35,33,35,44,28,22,35,17,10,29
309,3,35,46,35,42,35,20,35,31,28,29,10,29,28,30,28,30,35,20,35
310,4,47,23,16,28,22,35,30,28,16,32,16,39,16,15,29,28,16,15,47
311,5,6,5,6,29,28,29,4,29,6,37,1,24,47,23,16,32,29,10,29
312,6,26,35,21,23,21,35,33,35,20,35,31,35,31,11,31,35,32,29,6
313,7,19,7,19,47,13,17,13,43,13,29,32,16,23,21,35,30,28,30,35
314,8,35,41,35,22,35,41,35,31,28,29,14,40,24,48,19,7,19,46,35
315,9,11,31,35,32,35,30,28,13,17,13,28,29,39,29,28,29,36,9,28
316,10,17,35,17,13,16,35,31,28,43,13,28,1,0,1,28,31,11,9,36
317,11,9,39,9,12,9,14,9,39,16,32,16,32,9,12,9,32,16,23,47
318,12,9,14,40,24,1,25,1,25,1,24,47,49,29,13,28,29,13,30,28
319,13,1,0,1,24,48,24,48,24,1,24,1,0,19,0,35,46,24,48,19
320,14,29,19,9,19,48,24,40,24,46,24,29,28,31,28,30,28,13,43,35
321,15,29,49,29,14,40,24,46,35,3,35,18,35,26,39,16,39,29,6,16
322,16,32,16,32,9,39,9,32,16,39,9,35,43,35,3,35,22,35,45,35
