,x_emb,y_emb,t,name,house,good_bad,degree,main,id
181,0.27260384,-2.2976522,3,Peter Pettigrew,g,good,19,1,28
182,1.189463,-1.3560537,3,Harry Potter,g,bad,22,1,29
183,0.34055787,-2.1241965,3,James Potter,g,bad,7,0,30
184,0.16692317,-2.197931,3,Lily Potter,g,bad,5,0,31
185,0.26738665,-1.460268,3,Quirinus Quirrell,r,good,11,0,32
186,-0.19575441,-2.4047146,3,Tom Riddle Sr.,m,bad,5,0,33
187,0.067756906,-2.2169774,3,Mary Riddle,m,bad,1,0,34
188,-0.17598723,-2.6433876,3,Lord Voldemort,s,good,37,1,35
189,1.0752935,-1.2913,3,Rita Skeeter,n,good,5,0,36
190,-0.5511909,-2.4062016,3,Severus Snape,s,bad,4,0,37
191,1.0240719,-1.7821767,3,Nymphadora Tonks,h,bad,2,0,38
192,0.6777404,-1.3859437,3,Dolores Janes Umbridge,n,good,12,0,39
193,2.4093733,-1.3389535,3,Arthur Weasley,g,bad,2,0,40
194,-0.12516482,-2.2664244,3,Bill Weasley,g,bad,1,0,41
195,-0.22828712,-2.1739137,3,Charlie Weasley,g,bad,1,0,42
196,0.029182289,-2.2791245,3,Fred Weasley,g,bad,3,0,43
197,0.032109294,-2.2943985,3,George Weasley,g,bad,3,0,44
198,0.09361836,-2.311735,3,Ginny Weasley,g,bad,2,0,45
199,1.8047386,-1.5835451,3,Molly Weasley,g,bad,3,0,46
200,1.465931,-1.3588815,3,Ron Weasley,g,bad,14,0,47
201,2.8347442,-1.2876704,3,Dobby,n,bad,5,0,48
202,1.1272262,-1.3613914,3,Fluffy,n,good,4,0,49
203,1.2334614,-1.3092641,3,Aragog,n,good,4,0,50
204,1.7527097,-1.8755089,4,Regulus Arcturus Black,s,bad,4,0,0
205,1.5756279,-2.1483178,4,Sirius Black,g,bad,12,0,1
206,0.25860247,-1.5322604,4,Lavender Brown,g,good,1,0,2
207,-0.3746739,-2.537945,4,Cho Chang,r,bad,1,0,3
208,0.8135456,-1.2661043,4,Vincent Crabbe,s,good,3,0,4
209,-2.2745354,-3.0579014,4,"Bartemius ""Barty"" Crouch Sr.",n,bad,2,0,5
210,-2.1469412,-3.1101532,4,"Bartemius ""Barty"" Crouch Jr.",s,good,9,0,6
211,2.3332293,-1.4281877,4,Fleur Delacour,n,bad,1,0,7
212,-0.27527085,-2.5478992,4,Cedric Diggory,h,bad,1,0,8
