,x_emb,y_emb,t,tau,id
189,-0.4568270167204902,0.29122815478425024,1,0,39
190,-0.5985173501515497,0.21065443874964554,1,1,40
191,-0.5452428627456533,0.19732695445509485,1,1,41
192,-0.46951462660360865,0.47373022803927284,1,0,42
193,-0.6641089588795198,0.06032452987748518,1,2,43
194,-0.6397428695347743,-0.28025167514557736,1,2,44
195,-0.5428228120226096,0.34886772899064067,1,1,45
196,-0.6876168106386142,-0.09866950948330125,1,2,46
197,-0.6658372269001444,-0.09185284679724659,1,2,47
198,-0.7496476627024412,-0.126106842752285,1,2,48
199,-0.40388683627169414,0.3813035791860828,1,0,49
200,-0.7070588176235701,-0.19199883161324616,1,2,50
201,-0.4304831716868375,0.2553742610682216,1,0,51
202,-0.40625231565538955,0.4261351943484668,1,0,52
203,-0.3735062778892773,0.3983361271325617,1,0,53
204,-0.6454546840036078,-0.2553094239820854,1,2,54
205,-0.5130846698885516,-0.03630810007269363,1,1,55
206,-0.7144590935875339,-0.13576797104694838,1,2,56
207,-0.6263794842402352,0.2582488983201434,1,1,57
208,-0.6328352203767842,-0.13631720478999415,1,2,58
209,-0.6193470788943963,-0.3098401948628459,1,2,59
210,-0.4391756737003103,0.2847948575449545,1,0,60
211,-0.6535237211028642,-0.1745750896193367,1,2,61
212,-0.37178451657689054,0.21506701941640752,1,0,62
213,-0.48223676037144475,-0.011241934273396193,1,1,63
214,-0.5798078262467281,0.04838126420790555,1,1,64
215,-0.43412347892844416,0.18488879870081099,1,0,65
216,-0.6092020880048284,0.026817824831739206,1,1,66
217,-0.3562790146335795,0.05881518642067671,1,0,67
218,-0.511413378444623,0.3281482735869339,1,0,68
219,-0.5828455614886401,0.028574541564723114,1,1,69
220,-0.6883595331996488,-0.08507301677216686,1,2,70
221,-0.6099676029999958,0.23638807042092827,1,1,71
222,-0.5640509016519721,0.11022730599901898,1,1,72
223,-0.6555682395013729,-0.3044170488229733,1,2,73
224,-0.6419781606060362,-0.34756116939379167,1,2,74
225,-0.6404395346062357,-0.22865313149487318,1,1,75
226,-0.5734679736910626,0.08001556363748029,1,1,76
227,-0.38343882940225665,0.33824066161557576,1,0,77
228,-0.6162247140349623,0.2631370702043586,1,1,78
229,-0.44845701394876014,0.30713541195786903,1,0,79
230,-0.6863956898253271,0.004395917356416221,1,2,80
231,-0.6373285000465114,-0.3054109530740518,1,2,81
232,-0.6733115501164528,-0.06613144137751012,1,2,82
233,-0.3462301403796795,0.20352966931184,1,0,83
234,-0.37340709264593264,0.5824397600778345,1,0,84
235,-0.3657263745096553,0.336910740979209,1,0,85
236,-0.6743444818518664,-0.328234071663771,1,2,86
237,-0.4257060127076001,0.46172482923712027,1,0,87
238,-0.5949287977760838,-0.184963899330397,1,2,88
239,-0.6242221884749101,0.019243238565558377,1,1,89
240,-0.407026028018466,0.2597272553129445,1,0,90
241,-0.4099495169168229,0.18607618337199236,1,0,91
242,-0.3975151491817865,0.3501931582012286,1,0,92
243,-0.5472794490919187,0.07821126273538273,1,1,93
244,-0.4235228077874438,0.5234290527181874,1,0,94
245,-0.36283731170516537,0.39818092899124097,1,0,95
246,-0.4027392684474441,0.31559069216028207,1,0,96
247,-0.45885336048412656,0.38762509315980187,1,0,97
248,-0.41278647171534927,0.2649899247539922,1,0,98
249,-0.5734255902501051,0.18004244064183847,1,1,99
250,-0.5005958939949666,0.37986114442454594,1,0,100
251,-0.6947937794383348,0.0018664494173783513,1,2,101
252,-0.6982248577384406,-0.029337867484385143,1,2,102
253,-0.6514256409583622,-0.10154579961697596,1,1,103
254,-0.5462987060216822,0.14792401917162828,1,1,104
255,-0.5083380965549407,0.10370251860348548,1,1,105
256,-0.3982656940302774,0.15600764722006283,1,0,106
257,-0.41049657885258994,0.15438836452913138,1,0,107
258,-0.6078400321754887,0.13199497845832395,1,1,108
259,-0.7011413667209164,-0.1529783298485345,1,2,109
260,-0.6246813244883722,-0.0182393947471097,1,1,110
261,-0.5898909107467576,0.10838411045403379,1,1,111
262,-0.5880132462305598,0.025169715732132884,1,1,112
263,-0.5685593724918722,0.06343347135853843,1,1,113
264,-0.6168883174744363,0.38954716659949806,1,1,114
265,-0.6992824190939426,-0.2047299334247325,1,2,115
266,-0.600128543658876,0.0020198585057864277,1,1,116
267,-0.6004650841038283,0.19306524979964504,1,1,117
268,-0.6482013958800922,0.13194904723092102,1,1,118
269,-0.41948912792564735,0.3327191925402929,1,0,119
270,-0.4221705620994516,0.26499019101804255,1,0,120
271,-0.38570939395319354,0.2982701145022873,1,0,121
272,-0.40702620975027165,0.34391672416438773,1,0,122
273,-0.5562484724334564,-0.1574291031694845,1,1,123
274,-0.6045655184400544,-0.020376853262939237,1,1,124
275,-0.6024808273495128,0.040944023948093364,1,1,125
276,-0.6319627994488629,-0.2150095548288593,1,2,126
277,-0.6578150494466809,0.1787838187530708,1,1,127
278,-0.59402100917494,0.13074317156161094,1,1,128
279,-0.4224533137830804,0.13763184404914644,1,0,129
280,-0.5599910476908758,0.2402233274713621,1,1,130
281,-0.349266540248955,0.38807961204193797,1,0,131
282,-0.6800346476225773,-0.07433411966973541,1,2,132
283,-0.6845914737612612,-0.17113022103015596,1,2,133
284,-0.6132107316278291,-0.14486903442422572,1,2,134
285,-0.6809468527494561,-0.07383826916655638,1,2,135
286,-0.5758560024424586,0.11108240190506632,1,1,136
