,x_emb,y_emb,t,name,house,good_bad,degree,main,id
114,-0.5289158,-0.8743231,2,Vernon Dursley,m,good,58,0,12
115,-0.25816333,-1.0423571,2,Argus Filch,n,good,108,0,13
116,-0.25290725,-1.0448333,2,Cornelius Fudge,n,good,42,0,14
117,-0.4455356,-0.9429107,2,Gregory Goyle,s,good,55,0,15
118,-0.532366,-1.1440128,2,Hermione Granger,g,bad,196,1,16
119,-0.3763792,-1.15787,2,Rubeus Hagrid,g,bad,49,0,17
120,-0.39279518,-0.96787,2,Igor Karkaroff,n,bad,37,0,18
121,-0.47303772,-0.8671806,2,Bellatrix Lestrange,s,good,98,0,19
122,-0.3504694,-1.0943083,2,Frank Longbottom,g,bad,37,0,20
123,-0.25675932,-1.154557,2,Neville Longbottom,g,bad,44,0,21
124,-0.5460101,-1.1644341,2,Remus Lupin,g,bad,56,0,22
125,-0.3023455,-1.0124289,2,Draco Malfoy,s,good,95,0,23
126,-0.33324683,-1.1445811,2,Lucius Malfoy,s,good,63,0,24
127,-0.4097854,-0.7606075,2,Narcissa Malfoy,s,good,12,0,25
128,-0.36913952,-1.2699474,2,Minerva McGonagall,g,bad,142,0,26
129,-0.43405586,-1.144754,2,"Alastor ""Mad-Eye"" Moody",n,bad,101,0,27
130,-0.27992633,-1.1889606,2,Peter Pettigrew,g,good,189,0,28
131,-0.37944427,-1.0525606,2,Harry Potter,g,bad,201,1,29
132,-0.26801777,-1.1798186,2,James Potter,g,bad,160,0,30
133,-0.3546665,-1.122129,2,Lily Potter,g,bad,116,0,31
134,-0.44327036,-1.1468592,2,Quirinus Quirrell,r,good,248,1,32
135,-0.41364744,-1.1095321,2,Tom Riddle Sr.,m,bad,121,0,33
136,-0.5211367,-1.0679964,2,Mary Riddle,m,bad,37,0,34
137,-0.31696248,-0.9765436,2,Lord Voldemort,s,good,213,1,35
138,-0.39976552,-1.0078943,2,Rita Skeeter,n,good,98,0,36
139,-0.56007475,-1.1557301,2,Severus Snape,s,bad,95,0,37
140,-0.49416715,-0.97162354,2,Nymphadora Tonks,h,bad,48,0,38
141,-0.2450266,-1.0624074,2,Dolores Janes Umbridge,n,good,212,1,39
142,-0.44291756,-0.9238903,2,Arthur Weasley,g,bad,10,0,40
143,-0.47766683,-1.2258617,2,Bill Weasley,g,bad,37,0,41
144,-0.52745724,-1.1132153,2,Charlie Weasley,g,bad,37,0,42
145,-0.3146564,-1.1719465,2,Fred Weasley,g,bad,66,0,43
146,-0.4676795,-0.92775375,2,George Weasley,g,bad,66,0,44
147,-0.5593919,-1.0150762,2,Ginny Weasley,g,bad,56,0,45
148,-0.5090689,-1.1650277,2,Molly Weasley,g,bad,55,0,46
149,-0.54494214,-1.1853594,2,Ron Weasley,g,bad,132,0,47
150,-0.55805457,-1.2169639,2,Dobby,n,bad,43,0,48
151,-0.4671315,-0.9883671,2,Fluffy,n,good,69,0,49
152,-0.4432665,-0.86056125,2,Aragog,n,good,69,0,50
153,-0.60283715,-1.3180832,3,Regulus Arcturus Black,s,bad,72,0,0
154,-0.59702015,-1.2946174,3,Sirius Black,g,bad,146,0,1
155,-0.468852,-0.91771346,3,Lavender Brown,g,good,19,0,2
156,-0.5476249,-1.2350637,3,Cho Chang,r,bad,37,0,3
157,-0.2723212,-0.8585138,3,Vincent Crabbe,s,good,55,0,4
158,-0.4791777,-1.0390358,3,"Bartemius ""Barty"" Crouch Sr.",n,bad,18,0,5
159,-0.2118194,-0.8912912,3,"Bartemius ""Barty"" Crouch Jr.",s,good,70,0,6
160,-0.37549856,-1.1501173,3,Fleur Delacour,n,bad,11,0,7
161,-0.43304962,-1.3126266,3,Cedric Diggory,h,bad,37,0,8
162,-0.5226565,-1.429659,3,Albus Dumbledore,g,bad,180,0,9
163,-0.15533933,-0.93915045,3,Dudley Dursley,m,good,25,0,10
164,-0.30745196,-1.0109838,3,Petunia Dursley,m,good,63,0,11
165,-0.51431984,-0.9162206,3,Vernon Dursley,m,good,58,0,12
166,-0.21115454,-0.9980819,3,Argus Filch,n,good,108,0,13
167,-0.2574635,-1.1223212,3,Cornelius Fudge,n,good,42,0,14
168,-0.419516,-0.96045357,3,Gregory Goyle,s,good,55,0,15
169,-0.63460165,-1.2943214,3,Hermione Granger,g,bad,196,1,16
170,-0.44815683,-1.3159554,3,Rubeus Hagrid,g,bad,49,0,17
171,-0.46659067,-1.1159447,3,Igor Karkaroff,n,bad,37,0,18
172,-0.43234655,-0.87096363,3,Bellatrix Lestrange,s,good,98,0,19
173,-0.41980422,-1.2199656,3,Frank Longbottom,g,bad,37,0,20
174,-0.3257922,-1.3044698,3,Neville Longbottom,g,bad,44,0,21
175,-0.6209792,-1.3144139,3,Remus Lupin,g,bad,56,0,22
176,-0.26014683,-1.0025202,3,Draco Malfoy,s,good,95,0,23
177,-0.28622562,-1.1374042,3,Lucius Malfoy,s,good,63,0,24
178,-0.4497398,-0.87764144,3,Narcissa Malfoy,s,good,12,0,25
179,-0.45129105,-1.445015,3,Minerva McGonagall,g,bad,142,0,26
180,-0.5193632,-1.3175098,3,"Alastor ""Mad-Eye"" Moody",n,bad,101,0,27
181,-0.23670319,-1.1820257,3,Peter Pettigrew,g,good,189,0,28
182,-0.4681681,-1.1783404,3,Harry Potter,g,bad,201,1,29
183,-0.34781498,-1.3422527,3,James Potter,g,bad,160,0,30
184,-0.43787545,-1.2705237,3,Lily Potter,g,bad,116,0,31
185,-0.43099862,-1.1940331,3,Quirinus Quirrell,r,good,248,1,32
186,-0.47693363,-1.2302127,3,Tom Riddle Sr.,m,bad,121,0,33
187,-0.58279073,-1.1889793,3,Mary Riddle,m,bad,37,0,34
188,-0.29016712,-0.9847864,3,Lord Voldemort,s,good,213,1,35
189,-0.3664045,-1.0279821,3,Rita Skeeter,n,good,98,0,36
190,-0.61480075,-1.2571313,3,Severus Snape,s,bad,95,0,37
191,-0.5745865,-1.1341996,3,Nymphadora Tonks,h,bad,48,0,38
192,-0.18695521,-1.0561254,3,Dolores Janes Umbridge,n,good,212,1,39
193,-0.5130458,-1.069933,3,Arthur Weasley,g,bad,10,0,40
194,-0.5412752,-1.3345932,3,Bill Weasley,g,bad,37,0,41
195,-0.57656175,-1.2158097,3,Charlie Weasley,g,bad,37,0,42
196,-0.3903031,-1.3240393,3,Fred Weasley,g,bad,66,0,43
197,-0.55540156,-1.0877287,3,George Weasley,g,bad,66,0,44
198,-0.6257581,-1.1297066,3,Ginny Weasley,g,bad,56,0,45
199,-0.58281225,-1.3093718,3,Molly Weasley,g,bad,55,0,46
200,-0.6290649,-1.3240266,3,Ron Weasley,g,bad,132,0,47
201,-0.62864566,-1.3392838,3,Dobby,n,bad,43,0,48
202,-0.44765323,-1.0309126,3,Fluffy,n,good,69,0,49
203,-0.4315244,-0.9116937,3,Aragog,n,good,69,0,50
204,-0.6562574,-1.4256963,4,Regulus Arcturus Black,s,bad,72,0,0
205,-0.68600035,-1.4317212,4,Sirius Black,g,bad,146,0,1
206,-0.406234,-0.8739012,4,Lavender Brown,g,good,19,0,2
207,-0.64273566,-1.3906473,4,Cho Chang,r,bad,37,0,3
208,-0.19339314,-0.80349463,4,Vincent Crabbe,s,good,55,0,4
209,-0.5699549,-1.2166088,4,"Bartemius ""Barty"" Crouch Sr.",n,bad,18,0,5
210,-0.13507678,-0.8371888,4,"Bartemius ""Barty"" Crouch Jr.",s,good,70,0,6
211,-0.46840698,-1.3294305,4,Fleur Delacour,n,bad,11,0,7
212,-0.5201321,-1.4671183,4,Cedric Diggory,h,bad,37,0,8
213,-0.63910556,-1.6108159,4,Albus Dumbledore,g,bad,180,0,9
214,-0.104847886,-0.9098832,4,Dudley Dursley,m,good,25,0,10
215,-0.22230268,-0.9531771,4,Petunia Dursley,m,good,63,0,11
216,-0.42619675,-0.829257,4,Vernon Dursley,m,good,58,0,12
217,-0.14881968,-0.9453759,4,Argus Filch,n,good,108,0,13
218,-0.17978267,-1.0547012,4,Cornelius Fudge,n,good,42,0,14
219,-0.35098448,-0.90176135,4,Gregory Goyle,s,good,55,0,15
220,-0.7865855,-1.5289214,4,Hermione Granger,g,bad,196,1,16
221,-0.57981384,-1.540685,4,Rubeus Hagrid,g,bad,49,0,17
222,-0.5542651,-1.2682786,4,Igor Karkaroff,n,bad,37,0,18
223,-0.34740835,-0.7945517,4,Bellatrix Lestrange,s,good,98,0,19
224,-0.5323963,-1.4210389,4,Frank Longbottom,g,bad,37,0,20
225,-0.44057572,-1.4907944,4,Neville Longbottom,g,bad,44,0,21
226,-0.67178124,-1.4230578,4,Remus Lupin,g,bad,56,0,22
227,-0.12270347,-0.8356951,4,Draco Malfoy,s,good,95,0,23
228,-0.1948555,-1.05027,4,Lucius Malfoy,s,good,63,0,24
229,-0.43634436,-0.88662773,4,Narcissa Malfoy,s,good,12,0,25
230,-0.5688825,-1.6381688,4,Minerva McGonagall,g,bad,142,0,26
231,-0.6192602,-1.4733638,4,"Alastor ""Mad-Eye"" Moody",n,bad,101,0,27
232,-0.089365885,-1.0077202,4,Peter Pettigrew,g,good,189,0,28
233,-0.62734526,-1.424554,4,Harry Potter,g,bad,201,1,29
234,-0.4428396,-1.4900995,4,James Potter,g,bad,160,0,30
235,-0.5421424,-1.4418893,4,Lily Potter,g,bad,116,0,31
236,-0.36817712,-1.1307267,4,Quirinus Quirrell,r,good,248,1,32
237,-0.5795966,-1.4040788,4,Tom Riddle Sr.,m,bad,121,0,33
238,-0.6643609,-1.3285375,4,Mary Riddle,m,bad,37,0,34
239,-0.17919324,-0.857401,4,Lord Voldemort,s,good,213,1,35
240,-0.2220064,-0.8591001,4,Rita Skeeter,n,good,98,0,36
241,-0.7125565,-1.4171302,4,Severus Snape,s,bad,95,0,37
242,-0.6601462,-1.3085498,4,Nymphadora Tonks,h,bad,48,0,38
243,0.0043415236,-0.8183903,4,Dolores Janes Umbridge,n,good,212,1,39
244,-0.5747626,-1.2052886,4,Arthur Weasley,g,bad,10,0,40
245,-0.6331761,-1.5017974,4,Bill Weasley,g,bad,37,0,41
246,-0.6955695,-1.4147826,4,Charlie Weasley,g,bad,37,0,42
247,-0.48425043,-1.49863,4,Fred Weasley,g,bad,66,0,43
248,-0.6498863,-1.2535046,4,George Weasley,g,bad,66,0,44
249,-0.7349056,-1.3227879,4,Ginny Weasley,g,bad,56,0,45
250,-0.6925877,-1.4840869,4,Molly Weasley,g,bad,55,0,46
251,-0.7396122,-1.4877664,4,Ron Weasley,g,bad,132,0,47
252,-0.724746,-1.4993415,4,Dobby,n,bad,43,0,48
253,-0.3412318,-0.9028674,4,Fluffy,n,good,69,0,49
254,-0.30704674,-0.79417115,4,Aragog,n,good,69,0,50
255,-0.66454846,-1.459876,5,Regulus Arcturus Black,s,bad,72,0,0
